position[nm]  ElectricField_x[kV/c  ElectricField_y[kV/c  ElectricField_z[kV/c
    0.233333E+001    0.515764E-004    0.515815E-004    0.353382E-002 
    0.700000E+001    0.783502E-004    0.783509E-004    0.118694E-001 
    0.116667E+002    0.211637E-003    0.211630E-003    0.269306E-001 
    0.163333E+002    0.100177E-002    0.100176E-002    0.750530E-001 
    0.210000E+002    0.748001E-002    0.747997E-002    0.325910E+000 
    0.256667E+002    0.107813E+000    0.107813E+000    0.230542E+001 
    0.282000E+002    0.391236E+000    0.391236E+000    0.186235E+002 
    0.286000E+002    0.932180E+000    0.932181E+000    0.259719E+002 
    0.290000E+002    0.213151E+001    0.213151E+001    0.421777E+002 
    0.294000E+002    0.532328E+001    0.532328E+001    0.796176E+002 
    0.298000E+002    0.127911E+002    0.127911E+002    0.176679E+003 
    0.301000E+002    0.843852E+001    0.843852E+001   -0.132483E+003 
    0.303000E+002   -0.978808E+000   -0.978808E+000   -0.149853E+003 
    0.305000E+002   -0.535320E+000   -0.535320E+000   -0.156368E+003 
    0.307000E+002   -0.811388E-001   -0.811388E-001   -0.156965E+003 
    0.309000E+002   -0.685235E-002   -0.685236E-002   -0.156900E+003 
    0.311000E+002    0.310500E-002    0.310498E-002   -0.156912E+003 
    0.313000E+002    0.772964E-001    0.772963E-001   -0.157001E+003 
    0.315000E+002    0.531278E+000    0.531278E+000   -0.156429E+003 
    0.317000E+002    0.974468E+000    0.974468E+000   -0.149941E+003 
    0.319000E+002   -0.844312E+001   -0.844312E+001   -0.132600E+003 
    0.322000E+002   -0.127967E+002   -0.127967E+002    0.176507E+003 
    0.326000E+002   -0.533110E+001   -0.533110E+001    0.793623E+002 
    0.330000E+002   -0.214276E+001   -0.214276E+001    0.418060E+002 
    0.334000E+002   -0.949162E+000   -0.949162E+000    0.254299E+002 
    0.338000E+002   -0.418439E+000   -0.418439E+000    0.178191E+002 
    0.357500E+002   -0.129496E+000   -0.129496E+000    0.316406E+001 
    0.392500E+002   -0.133790E-001   -0.133789E-001    0.610478E+000 
    0.427500E+002   -0.240322E-002   -0.240322E-002    0.172675E+000 
    0.462500E+002   -0.570380E-003   -0.570376E-003    0.726162E-001 
    0.482000E+002   -0.226574E-003   -0.226549E-003    0.572236E-001 
    0.486000E+002   -0.188793E-003   -0.188783E-003    0.545847E-001 
    0.490000E+002   -0.156054E-003   -0.156062E-003    0.523932E-001 
    0.494000E+002   -0.127390E-003   -0.127400E-003    0.505917E-001 
    0.498000E+002   -0.101935E-003   -0.101963E-003    0.491341E-001 
    0.501000E+002   -0.847677E-004   -0.848013E-004   -0.471794E+003 
    0.503000E+002   -0.747089E-004   -0.747164E-004   -0.471795E+003 
    0.505000E+002   -0.650908E-004   -0.650812E-004   -0.471795E+003 
    0.507000E+002   -0.558728E-004   -0.558586E-004   -0.471796E+003 
    0.509000E+002   -0.470035E-004   -0.469779E-004   -0.471796E+003 
    0.511000E+002   -0.384168E-004   -0.383625E-004   -0.471796E+003 
