position[nm]  potential_built_in_cl[V]
    0.000000E+000    0.863893E+000 
    0.466667E+001    0.863891E+000 
    0.933333E+001    0.863886E+000 
    0.140000E+002    0.863873E+000 
    0.186667E+002    0.863838E+000 
    0.233333E+002    0.863686E+000 
    0.280000E+002    0.862608E+000 
    0.284000E+002    0.861858E+000 
    0.288000E+002    0.860810E+000 
    0.292000E+002    0.859102E+000 
    0.296000E+002    0.855858E+000 
    0.299990E+002    0.848664E+000 
    0.300010E+002    0.848664E+000 
    0.301990E+002    0.851549E+000 
    0.302010E+002    0.851549E+000 
    0.303990E+002    0.854546E+000 
    0.304010E+002    0.854546E+000 
    0.305990E+002    0.857663E+000 
    0.306010E+002    0.857663E+000 
    0.307990E+002    0.860801E+000 
    0.308010E+002    0.860801E+000 
    0.309990E+002    0.863939E+000 
    0.310010E+002    0.863939E+000 
    0.311990E+002    0.867077E+000 
    0.312010E+002    0.867077E+000 
    0.313990E+002    0.870215E+000 
    0.314010E+002    0.870215E+000 
    0.315990E+002    0.873334E+000 
    0.316010E+002    0.873334E+000 
    0.317990E+002    0.876332E+000 
    0.318010E+002    0.876332E+000 
    0.319990E+002    0.879219E+000 
    0.320010E+002    0.879219E+000 
    0.324000E+002    0.872032E+000 
    0.328000E+002    0.868799E+000 
    0.332000E+002    0.867106E+000 
    0.336000E+002    0.866080E+000 
    0.340000E+002    0.865362E+000 
    0.375000E+002    0.864252E+000 
    0.410000E+002    0.864038E+000 
    0.445000E+002    0.863978E+000 
    0.480000E+002    0.863952E+000 
    0.484000E+002    0.863950E+000 
    0.488000E+002    0.863948E+000 
    0.492000E+002    0.863946E+000 
    0.496000E+002    0.863944E+000 
    0.499990E+002    0.863942E+000 
    0.500010E+002    0.863942E+000 
    0.502000E+002    0.873378E+000 
    0.504000E+002    0.882814E+000 
    0.506000E+002    0.892250E+000 
    0.508000E+002    0.901685E+000 
    0.510000E+002    0.911121E+000 
    0.512000E+002    0.920557E+000 
    0.514000E+002    0.929993E+000 
    0.516000E+002    0.939429E+000 
    0.518000E+002    0.948865E+000 
    0.519990E+002    0.958301E+000 
    0.520010E+002    0.958301E+000 
    0.524000E+002    0.958299E+000 
    0.528000E+002    0.958297E+000 
    0.532000E+002    0.958296E+000 
    0.536000E+002    0.958294E+000 
    0.540000E+002    0.958292E+000 
    0.575000E+002    0.958273E+000 
    0.610000E+002    0.958239E+000 
    0.645000E+002    0.958147E+000 
    0.680000E+002    0.957791E+000 
    0.684000E+002    0.957651E+000 
    0.688000E+002    0.957478E+000 
    0.692000E+002    0.957256E+000 
    0.696000E+002    0.956961E+000 
    0.699990E+002    0.956550E+000 
    0.700010E+002    0.956550E+000 
    0.702857E+002    0.969650E+000 
    0.705714E+002    0.982608E+000 
    0.708571E+002    0.995343E+000 
    0.711429E+002    0.100771E+001 
    0.714286E+002    0.101941E+001 
    0.717143E+002    0.102983E+001 
    0.719990E+002    0.103764E+001 
    0.720010E+002    0.103764E+001 
    0.721990E+002    0.104047E+001 
    0.722010E+002    0.104047E+001 
    0.723990E+002    0.104343E+001 
    0.724010E+002    0.104343E+001 
    0.725990E+002    0.104652E+001 
    0.726010E+002    0.104652E+001 
    0.727990E+002    0.104964E+001 
    0.728010E+002    0.104964E+001 
    0.729990E+002    0.105276E+001 
    0.730010E+002    0.105276E+001 
    0.731990E+002    0.105588E+001 
    0.732010E+002    0.105588E+001 
    0.733990E+002    0.105901E+001 
    0.734010E+002    0.105901E+001 
    0.735990E+002    0.106212E+001 
    0.736010E+002    0.106212E+001 
    0.737990E+002    0.106511E+001 
    0.738010E+002    0.106511E+001 
    0.739990E+002    0.106799E+001 
    0.740010E+002    0.106799E+001 
    0.744000E+002    0.106079E+001 
    0.748000E+002    0.105755E+001 
    0.752000E+002    0.105585E+001 
    0.756000E+002    0.105481E+001 
    0.760000E+002    0.105407E+001 
    0.800000E+002    0.105297E+001 
    0.840000E+002    0.105279E+001 
    0.880000E+002    0.105274E+001 
    0.920000E+002    0.105273E+001 
    0.960000E+002    0.105272E+001 
    0.100000E+003    0.105272E+001 
