position[nm]  ElasticEnergyDensity[eV/nm^3]
    0.000000E+000    0.000000E+000 
    0.833333E+000    0.000000E+000 
    0.250000E+001    0.000000E+000 
    0.416667E+001    0.000000E+000 
    0.583333E+001    0.000000E+000 
    0.750000E+001    0.000000E+000 
    0.916667E+001    0.000000E+000 
    0.118000E+002    0.250244E-002 
    0.154000E+002    0.251289E-002 
    0.190000E+002    0.254512E-002 
    0.226000E+002    0.266351E-002 
    0.262000E+002    0.331996E-002 
    0.282000E+002    0.729193E-002 
    0.286000E+002    0.112633E-001 
    0.290000E+002    0.213539E-001 
    0.294000E+002    0.566063E-001 
    0.298000E+002    0.231856E+000 
    0.301000E+002    0.647990E+000 
    0.303000E+002    0.587626E+000 
    0.305000E+002    0.581394E+000 
    0.307000E+002    0.585856E+000 
    0.309000E+002    0.591107E+000 
    0.311000E+002    0.591105E+000 
    0.313000E+002    0.585849E+000 
    0.315000E+002    0.581381E+000 
    0.317000E+002    0.587608E+000 
    0.319000E+002    0.647968E+000 
    0.322000E+002    0.231832E+000 
    0.326000E+002    0.565878E-001 
    0.330000E+002    0.213381E-001 
    0.334000E+002    0.112489E-001 
    0.338000E+002    0.727925E-002 
    0.357500E+002    0.334357E-002 
    0.392500E+002    0.267272E-002 
    0.427500E+002    0.254872E-002 
    0.462500E+002    0.251422E-002 
    0.482000E+002    0.250723E-002 
    0.486000E+002    0.250604E-002 
    0.490000E+002    0.250508E-002 
    0.494000E+002    0.250429E-002 
    0.498000E+002    0.250367E-002 
    0.501000E+002    0.130323E+001 
    0.503000E+002    0.130323E+001 
    0.505000E+002    0.130323E+001 
    0.507000E+002    0.130324E+001 
    0.509000E+002    0.130324E+001 
    0.511000E+002    0.130324E+001 
    0.513000E+002    0.130325E+001 
    0.515000E+002    0.130325E+001 
    0.517000E+002    0.130325E+001 
    0.519000E+002    0.130325E+001 
    0.522000E+002    0.250234E-002 
    0.526000E+002    0.250248E-002 
    0.530000E+002    0.250274E-002 
    0.534000E+002    0.250313E-002 
    0.538000E+002    0.250366E-002 
    0.557500E+002    0.250717E-002 
    0.592500E+002    0.252647E-002 
    0.627500E+002    0.258754E-002 
    0.662500E+002    0.280412E-002 
    0.682000E+002    0.335404E-002 
    0.686000E+002    0.359668E-002 
    0.690000E+002    0.394108E-002 
    0.694000E+002    0.447734E-002 
    0.698000E+002    0.537915E-002 
    0.701429E+002    0.125767E+001 
    0.704286E+002    0.123766E+001 
    0.707143E+002    0.120880E+001 
    0.710000E+002    0.116300E+001 
    0.712857E+002    0.108409E+001 
    0.715714E+002    0.938992E+000 
    0.718571E+002    0.695139E+000 
    0.721000E+002    0.577995E+000 
    0.723000E+002    0.547034E+000 
    0.725000E+002    0.556098E+000 
    0.727000E+002    0.569163E+000 
    0.729000E+002    0.579447E+000 
    0.731000E+002    0.582516E+000 
    0.733000E+002    0.579211E+000 
    0.735000E+002    0.576057E+000 
    0.737000E+002    0.583160E+000 
    0.739000E+002    0.644768E+000 
    0.742000E+002    0.228680E+000 
    0.746000E+002    0.554077E-001 
    0.750000E+002    0.207979E-001 
    0.754000E+002    0.109644E-001 
    0.758000E+002    0.711747E-002 
    0.780000E+002    0.318853E-002 
    0.820000E+002    0.261929E-002 
    0.860000E+002    0.252704E-002 
    0.900000E+002    0.250410E-002 
    0.940000E+002    0.249720E-002 
    0.980000E+002    0.249493E-002 
    0.100000E+003    0.249493E-002 
