position[nm]  hl[1e18/cm3]
    0.000000E+000    0.141287E-045 
    0.166667E+001    0.141273E-045 
    0.333333E+001    0.141229E-045 
    0.500000E+001    0.141144E-045 
    0.666667E+001    0.140997E-045 
    0.833333E+001    0.140744E-045 
    0.100000E+002    0.128725E-045 
    0.136000E+002    0.233862E-044 
    0.172000E+002    0.446023E-043 
    0.208000E+002    0.831207E-042 
    0.244000E+002    0.145951E-040 
    0.280000E+002    0.222439E-039 
    0.284000E+002    0.238641E-039 
    0.288000E+002    0.269430E-039 
    0.292000E+002    0.350768E-039 
    0.296000E+002    0.142994E-038 
    0.299990E+002    0.376306E-037 
    0.300010E+002    0.686311E-038 
    0.301990E+002    0.557163E-038 
    0.302010E+002    0.557163E-038 
    0.303990E+002    0.556070E-038 
    0.304010E+002    0.556070E-038 
    0.305990E+002    0.553597E-038 
    0.306010E+002    0.553597E-038 
    0.307990E+002    0.550095E-038 
    0.308010E+002    0.550095E-038 
    0.309990E+002    0.530999E-038 
    0.310010E+002    0.530999E-038 
    0.311990E+002    0.504521E-038 
    0.312010E+002    0.504521E-038 
    0.313990E+002    0.480809E-038 
    0.314010E+002    0.480809E-038 
    0.315990E+002    0.458577E-038 
    0.316010E+002    0.458577E-038 
    0.317990E+002    0.507130E-038 
    0.318010E+002    0.507130E-038 
    0.319990E+002    0.500494E-038 
    0.320010E+002    0.274348E-037 
    0.324000E+002    0.964921E-037 
    0.328000E+002    0.494127E-037 
    0.332000E+002    0.479085E-037 
    0.336000E+002    0.537484E-037 
    0.340000E+002    0.625837E-037 
    0.375000E+002    0.960216E-036 
    0.410000E+002    0.158450E-034 
    0.445000E+002    0.272715E-033 
    0.480000E+002    0.478761E-032 
    0.484000E+002    0.664483E-032 
    0.488000E+002    0.922256E-032 
    0.492000E+002    0.128014E-031 
    0.496000E+002    0.177703E-031 
    0.499990E+002    0.246693E-031 
    0.500010E+002    0.849581E-030 
    0.502000E+002    0.453691E-031 
    0.504000E+002    0.242283E-032 
    0.506000E+002    0.129386E-033 
    0.508000E+002    0.690968E-035 
    0.510000E+002    0.369002E-036 
    0.512000E+002    0.197061E-037 
    0.514000E+002    0.105239E-038 
    0.516000E+002    0.562017E-040 
    0.518000E+002    0.300140E-041 
    0.519990E+002    0.160286E-042 
    0.520010E+002    0.465413E-044 
    0.524000E+002    0.646192E-044 
    0.528000E+002    0.897172E-044 
    0.532000E+002    0.124559E-043 
    0.536000E+002    0.172926E-043 
    0.540000E+002    0.240051E-043 
    0.575000E+002    0.423164E-042 
    0.610000E+002    0.736860E-041 
    0.645000E+002    0.125054E-039 
    0.680000E+002    0.202788E-038 
    0.684000E+002    0.267854E-038 
    0.688000E+002    0.355482E-038 
    0.692000E+002    0.467797E-038 
    0.696000E+002    0.606306E-038 
    0.699990E+002    0.775317E-038 
    0.700010E+002    0.235704E-036 
    0.702857E+002    0.318421E-038 
    0.705714E+002    0.405983E-040 
    0.708571E+002    0.490115E-042 
    0.711429E+002    0.550821E-044 
    0.714286E+002    0.574631E-046 
    0.717143E+002    0.611643E-048 
    0.719990E+002    0.206473E-049 
    0.720010E+002    0.206473E-049 
    0.721990E+002    0.115855E-049 
    0.722010E+002    0.115855E-049 
    0.723990E+002    0.104140E-049 
    0.724010E+002    0.104140E-049 
    0.725990E+002    0.887352E-050 
    0.726010E+002    0.887352E-050 
    0.727990E+002    0.746684E-050 
    0.728010E+002    0.746684E-050 
    0.729990E+002    0.607451E-050 
    0.730010E+002    0.607451E-050 
    0.731990E+002    0.481695E-050 
    0.732010E+002    0.481695E-050 
    0.733990E+002    0.377329E-050 
    0.734010E+002    0.377329E-050 
    0.735990E+002    0.289517E-050 
    0.736010E+002    0.289517E-050 
    0.737990E+002    0.251490E-050 
    0.738010E+002    0.251490E-050 
    0.739990E+002    0.190626E-050 
    0.740010E+002    0.100121E-049 
    0.744000E+002    0.214066E-049 
    0.748000E+002    0.728570E-050 
    0.752000E+002    0.482275E-050 
    0.756000E+002    0.373909E-050 
    0.760000E+002    0.302706E-050 
    0.800000E+002    0.247947E-050 
    0.840000E+002    0.228096E-050 
    0.880000E+002    0.220880E-050 
    0.920000E+002    0.218207E-050 
    0.960000E+002    0.217206E-050 
    0.100000E+003    0.216853E-050 
