position[nm]  pz[1e18/cm3]
    0.000000E+000    0.000000E+000 
    0.166667E+001    0.000000E+000 
    0.333333E+001    0.000000E+000 
    0.500000E+001    0.000000E+000 
    0.666667E+001    0.000000E+000 
    0.833333E+001    0.000000E+000 
    0.100000E+002    0.427824E+001 
    0.136000E+002    0.197232E-001 
    0.172000E+002    0.578690E-001 
    0.208000E+002    0.231470E+000 
    0.244000E+002    0.133404E+001 
    0.280000E+002    0.575236E+001 
    0.284000E+002    0.249370E+002 
    0.288000E+002    0.447279E+002 
    0.292000E+002    0.970271E+002 
    0.296000E+002    0.235279E+003 
    0.299990E+002   -0.266983E+003 
    0.300010E+002   -0.371025E+003 
    0.301990E+002    0.155356E+003 
    0.302010E+002    0.155356E+003 
    0.303990E+002   -0.234921E+002 
    0.304010E+002   -0.234921E+002 
    0.305990E+002   -0.212517E+002 
    0.306010E+002   -0.212517E+002 
    0.307990E+002   -0.145846E+002 
    0.308010E+002   -0.145846E+002 
    0.309990E+002   -0.660635E-002 
    0.310010E+002   -0.660635E-002 
    0.311990E+002    0.145713E+002 
    0.312010E+002    0.145713E+002 
    0.313990E+002    0.212381E+002 
    0.314010E+002    0.212381E+002 
    0.315990E+002    0.234778E+002 
    0.316010E+002    0.234778E+002 
    0.317990E+002   -0.155370E+003 
    0.318010E+002   -0.155370E+003 
    0.319990E+002    0.266970E+003 
    0.320010E+002    0.371019E+003 
    0.324000E+002   -0.235295E+003 
    0.328000E+002   -0.970432E+002 
    0.332000E+002   -0.447387E+002 
    0.336000E+002   -0.249223E+002 
    0.340000E+002   -0.585227E+001 
    0.375000E+002   -0.137659E+001 
    0.410000E+002   -0.245855E+000 
    0.445000E+002   -0.620506E-001 
    0.480000E+002   -0.258221E-001 
    0.484000E+002   -0.178661E-001 
    0.488000E+002   -0.143484E-001 
    0.492000E+002   -0.113983E-001 
    0.496000E+002   -0.883532E-002 
    0.499990E+002   -0.668820E+003 
    0.500010E+002   -0.668817E+003 
    0.502000E+002   -0.719079E-002 
    0.504000E+002   -0.626502E-002 
    0.506000E+002   -0.537260E-002 
    0.508000E+002   -0.451240E-002 
    0.510000E+002   -0.368077E-002 
    0.512000E+002   -0.287310E-002 
    0.514000E+002   -0.208459E-002 
    0.516000E+002   -0.131035E-002 
    0.518000E+002   -0.544981E-003 
    0.519990E+002    0.668814E+003 
    0.520010E+002    0.668814E+003 
    0.524000E+002    0.190145E-002 
    0.528000E+002    0.373543E-002 
    0.532000E+002    0.573291E-002 
    0.536000E+002    0.800051E-002 
    0.540000E+002    0.137152E-001 
    0.575000E+002    0.338894E-001 
    0.610000E+002    0.109308E+000 
    0.645000E+002    0.378621E+000 
    0.680000E+002    0.107271E+001 
    0.684000E+002    0.282136E+001 
    0.688000E+002    0.366352E+001 
    0.692000E+002    0.525291E+001 
    0.696000E+002    0.797576E+001 
    0.699990E+002   -0.570454E+003 
    0.700010E+002   -0.575445E+003 
    0.702857E+002    0.219333E+002 
    0.705714E+002    0.327408E+002 
    0.708571E+002    0.521129E+002 
    0.711429E+002    0.893762E+002 
    0.714286E+002    0.169264E+003 
    0.717143E+002    0.342240E+003 
    0.719990E+002    0.411895E+003 
    0.720010E+002    0.411895E+003 
    0.721990E+002    0.115381E+003 
    0.722010E+002    0.115381E+003 
    0.723990E+002   -0.315822E+002 
    0.724010E+002   -0.315822E+002 
    0.725990E+002   -0.173941E+002 
    0.726010E+002   -0.173941E+002 
    0.727990E+002   -0.829836E+001 
    0.728010E+002   -0.829836E+001 
    0.729990E+002    0.585895E+001 
    0.730010E+002    0.585895E+001 
    0.731990E+002    0.194306E+002 
    0.732010E+002    0.194306E+002 
    0.733990E+002    0.251379E+002 
    0.734010E+002    0.251379E+002 
    0.735990E+002    0.265957E+002 
    0.736010E+002    0.265957E+002 
    0.737990E+002   -0.152853E+003 
    0.738010E+002   -0.152853E+003 
    0.739990E+002    0.268943E+003 
    0.740010E+002    0.372219E+003 
    0.744000E+002   -0.234095E+003 
    0.748000E+002   -0.962097E+002 
    0.752000E+002   -0.441508E+002 
    0.756000E+002   -0.245661E+002 
    0.760000E+002   -0.522728E+001 
    0.800000E+002   -0.113870E+001 
    0.840000E+002   -0.172522E+000 
    0.880000E+002   -0.385361E-001 
    0.920000E+002   -0.116407E-001 
    0.960000E+002   -0.424664E-002 
    0.100000E+003   -0.746744E-003 
