position[nm]  ElectricField_x[kV/c  ElectricField_y[kV/c  ElectricField_z[kV/c
    0.833333E+000   -0.596839E-003   -0.596839E-003   -0.151219E-001 
    0.250000E+001   -0.729439E-003   -0.729440E-003   -0.485252E-001 
    0.416667E+001   -0.105830E-002   -0.105830E-002   -0.929063E-001 
    0.583333E+001   -0.174400E-002   -0.174400E-002   -0.161371E+000 
    0.750000E+001   -0.312915E-002   -0.312915E-002   -0.278860E+000 
    0.916667E+001   -0.594974E-002   -0.594974E-002   -0.495003E+000 
    0.118000E+002   -0.125530E-001   -0.125530E-001    0.212407E+003 
    0.154000E+002   -0.324694E-001   -0.324694E-001    0.211765E+003 
    0.190000E+002   -0.108310E+000   -0.108310E+000    0.210223E+003 
    0.226000E+002   -0.511946E+000   -0.511946E+000    0.206558E+003 
    0.262000E+002   -0.311548E+001   -0.311548E+001    0.199003E+003 
    0.282000E+002   -0.984895E+001   -0.984895E+001    0.742760E+002 
    0.286000E+002   -0.203439E+002   -0.203439E+002    0.798809E+002 
    0.290000E+002   -0.354121E+002   -0.354121E+002    0.807646E+002 
    0.294000E+002   -0.442498E+002   -0.442498E+002    0.237492E+003 
    0.298000E+002    0.286380E+002    0.286380E+002    0.141771E+004 
    0.301000E+002    0.243609E+002    0.243609E+002   -0.469772E+002 
    0.303000E+002   -0.267129E+002   -0.267129E+002    0.318622E+002 
    0.305000E+002    0.525418E+001    0.525418E+001   -0.415815E+002 
    0.307000E+002    0.789149E+001    0.789149E+001   -0.310113E+002 
    0.309000E+002    0.222413E+001    0.222413E+001   -0.530407E+002 
    0.311000E+002   -0.221615E+001   -0.221615E+001   -0.530384E+002 
    0.313000E+002   -0.788334E+001   -0.788334E+001   -0.310042E+002 
    0.315000E+002   -0.524566E+001   -0.524566E+001   -0.415691E+002 
    0.317000E+002    0.267221E+002    0.267221E+002    0.318807E+002 
    0.319000E+002   -0.243518E+002   -0.243518E+002   -0.469481E+002 
    0.322000E+002   -0.286274E+002   -0.286274E+002    0.141780E+004 
    0.326000E+002    0.442646E+002    0.442646E+002    0.237613E+003 
    0.330000E+002    0.354334E+002    0.354334E+002    0.809844E+002 
    0.334000E+002    0.203774E+002    0.203774E+002    0.803414E+002 
    0.338000E+002    0.991215E+001    0.991215E+001    0.753753E+002 
    0.357500E+002    0.317224E+001    0.317224E+001    0.198559E+003 
    0.392500E+002    0.531237E+000    0.531237E+000    0.206303E+003 
    0.427500E+002    0.114844E+000    0.114844E+000    0.210010E+003 
    0.462500E+002    0.345915E-001    0.345915E-001    0.211596E+003 
    0.482000E+002    0.169164E-001    0.169164E-001    0.211781E+003 
    0.486000E+002    0.143603E-001    0.143603E-001    0.211845E+003 
    0.490000E+002    0.120051E-001    0.120051E-001    0.211904E+003 
    0.494000E+002    0.983431E-002    0.983431E-002    0.211957E+003 
    0.498000E+002    0.783340E-002    0.783339E-002    0.212002E+003 
    0.501000E+002    0.647359E-002    0.647359E-002   -0.378722E+004 
    0.503000E+002    0.568972E-002    0.568972E-002   -0.378720E+004 
    0.505000E+002    0.493103E-002    0.493103E-002   -0.378719E+004 
    0.507000E+002    0.419158E-002    0.419158E-002   -0.378718E+004 
    0.509000E+002    0.346739E-002    0.346739E-002   -0.378717E+004 
    0.511000E+002    0.275554E-002    0.275554E-002   -0.378717E+004 
    0.513000E+002    0.205332E-002    0.205332E-002   -0.378716E+004 
    0.515000E+002    0.135779E-002    0.135779E-002   -0.378716E+004 
    0.517000E+002    0.665661E-003    0.665661E-003   -0.378715E+004 
    0.519000E+002   -0.267201E-004   -0.267201E-004   -0.378716E+004 
    0.522000E+002   -0.116058E-002   -0.116058E-002    0.212100E+003 
    0.526000E+002   -0.275506E-002   -0.275506E-002    0.212089E+003 
    0.530000E+002   -0.439837E-002   -0.439837E-002    0.212072E+003 
    0.534000E+002   -0.610546E-002   -0.610546E-002    0.212048E+003 
    0.538000E+002   -0.789160E-002   -0.789160E-002    0.212020E+003 
    0.557500E+002   -0.181802E-001   -0.181802E-001    0.211977E+003 
    0.592500E+002   -0.536076E-001   -0.536076E-001    0.211140E+003 
    0.627500E+002   -0.164576E+000   -0.164576E+000    0.209469E+003 
    0.662500E+002   -0.601612E+000   -0.601612E+000    0.206638E+003 
    0.682000E+002   -0.129873E+001   -0.129873E+001    0.186869E+003 
    0.686000E+002   -0.206091E+001   -0.206091E+001    0.187217E+003 
    0.690000E+002   -0.308959E+001   -0.308959E+001    0.183306E+003 
    0.694000E+002   -0.467021E+001   -0.467021E+001    0.175823E+003 
    0.698000E+002   -0.723449E+001   -0.723449E+001    0.164211E+003 
    0.701429E+002   -0.109556E+002   -0.109556E+002   -0.386482E+004 
    0.704286E+002   -0.160581E+002   -0.160581E+002   -0.387470E+004 
    0.707143E+002   -0.233806E+002   -0.233806E+002   -0.388499E+004 
    0.710000E+002   -0.339692E+002   -0.339692E+002   -0.387832E+004 
    0.712857E+002   -0.471050E+002   -0.471050E+002   -0.380245E+004 
    0.715714E+002   -0.467771E+002   -0.467771E+002   -0.347739E+004 
    0.718571E+002    0.893700E+001    0.893700E+001   -0.222425E+004 
    0.721000E+002    0.211365E+001    0.211365E+001    0.140887E+001 
    0.723000E+002   -0.219507E+002   -0.219507E+002   -0.123844E+003 
    0.725000E+002    0.152982E+002    0.152982E+002   -0.234366E+003 
    0.727000E+002    0.173349E+002    0.173349E+002   -0.229428E+003 
    0.729000E+002    0.109454E+002    0.109454E+002   -0.258903E+003 
    0.731000E+002    0.631211E+001    0.631211E+001   -0.273896E+003 
    0.733000E+002    0.763673E+000    0.763673E+000   -0.274182E+003 
    0.735000E+002    0.356708E+001    0.356708E+001   -0.313383E+003 
    0.737000E+002    0.359951E+002    0.359951E+002   -0.274816E+003 
    0.739000E+002   -0.147066E+002   -0.147066E+002   -0.386003E+003 
    0.742000E+002   -0.221378E+002   -0.221378E+002    0.109470E+004 
    0.746000E+002    0.465819E+002    0.465819E+002   -0.343790E+002 
    0.750000E+002    0.363098E+002    0.363098E+002   -0.168689E+003 
    0.754000E+002    0.206522E+002    0.206522E+002   -0.158871E+003 
    0.758000E+002    0.980242E+001    0.980242E+001   -0.160231E+003 
    0.780000E+002    0.295929E+001    0.295929E+001   -0.156615E+002 
    0.820000E+002    0.440595E+000    0.440595E+000   -0.596356E+001 
    0.860000E+002    0.826333E-001    0.826333E-001   -0.218721E+001 
    0.900000E+002    0.222166E-001    0.222166E-001   -0.816432E+000 
