position[nm]  eps_sim_xy
    0.000000E+000    0.000000E+000 
    0.833333E+000    0.000000E+000 
    0.250000E+001    0.000000E+000 
    0.416667E+001    0.000000E+000 
    0.583333E+001    0.000000E+000 
    0.750000E+001    0.000000E+000 
    0.916667E+001    0.000000E+000 
    0.118000E+002   -0.128245E-009 
    0.154000E+002   -0.570920E-009 
    0.190000E+002   -0.286246E-008 
    0.226000E+002   -0.235397E-007 
    0.262000E+002   -0.138362E-006 
    0.282000E+002   -0.777852E-006 
    0.286000E+002   -0.220734E-005 
    0.290000E+002   -0.538332E-005 
    0.294000E+002   -0.129407E-004 
    0.298000E+002   -0.159325E-004 
    0.301000E+002    0.346208E-005 
    0.303000E+002    0.117760E-004 
    0.305000E+002    0.708084E-005 
    0.307000E+002    0.118869E-004 
    0.309000E+002    0.123792E-004 
    0.311000E+002    0.123793E-004 
    0.313000E+002    0.118870E-004 
    0.315000E+002    0.708105E-005 
    0.317000E+002    0.117764E-004 
    0.319000E+002    0.346258E-005 
    0.322000E+002   -0.159320E-004 
    0.326000E+002   -0.129400E-004 
    0.330000E+002   -0.538245E-005 
    0.334000E+002   -0.220685E-005 
    0.338000E+002   -0.780555E-006 
    0.357500E+002   -0.141944E-006 
    0.392500E+002   -0.245747E-007 
    0.427500E+002   -0.308841E-008 
    0.462500E+002   -0.669841E-009 
    0.482000E+002   -0.330201E-009 
    0.486000E+002   -0.278614E-009 
    0.490000E+002   -0.241729E-009 
    0.494000E+002   -0.216268E-009 
    0.498000E+002   -0.199852E-009 
    0.501000E+002   -0.189743E-009 
    0.503000E+002   -0.182399E-009 
    0.505000E+002   -0.176084E-009 
    0.507000E+002   -0.170730E-009 
    0.509000E+002   -0.166260E-009 
    0.511000E+002   -0.162601E-009 
    0.513000E+002   -0.159696E-009 
    0.515000E+002   -0.157502E-009 
    0.517000E+002   -0.155986E-009 
    0.519000E+002   -0.155127E-009 
    0.522000E+002   -0.155572E-009 
    0.526000E+002   -0.159523E-009 
    0.530000E+002   -0.168959E-009 
    0.534000E+002   -0.185173E-009 
    0.538000E+002   -0.210479E-009 
    0.557500E+002   -0.378196E-009 
    0.592500E+002   -0.124377E-008 
    0.627500E+002   -0.538387E-008 
    0.662500E+002   -0.189310E-007 
    0.682000E+002   -0.548238E-007 
    0.686000E+002   -0.107752E-006 
    0.690000E+002   -0.177313E-006 
    0.694000E+002   -0.294653E-006 
    0.698000E+002   -0.504622E-006 
    0.701429E+002   -0.897420E-006 
    0.704286E+002   -0.155972E-005 
    0.707143E+002   -0.272918E-005 
    0.710000E+002   -0.511602E-005 
    0.712857E+002   -0.101339E-004 
    0.715714E+002   -0.196085E-004 
    0.718571E+002   -0.169846E-004 
    0.721000E+002    0.416559E-005 
    0.723000E+002    0.916529E-005 
    0.725000E+002    0.659038E-005 
    0.727000E+002    0.123454E-004 
    0.729000E+002    0.129980E-004 
    0.731000E+002    0.129042E-004 
    0.733000E+002    0.122815E-004 
    0.735000E+002    0.736517E-005 
    0.737000E+002    0.119824E-004 
    0.739000E+002    0.360705E-005 
    0.742000E+002   -0.158423E-004 
    0.746000E+002   -0.128889E-004 
    0.750000E+002   -0.535470E-005 
    0.754000E+002   -0.219023E-005 
    0.758000E+002   -0.759228E-006 
    0.780000E+002   -0.123038E-006 
    0.820000E+002   -0.192967E-007 
    0.860000E+002   -0.200004E-008 
    0.900000E+002   -0.340043E-009 
    0.940000E+002   -0.884855E-010 
    0.980000E+002   -0.196145E-010 
    0.100000E+003   -0.196145E-010 
