position[nm]  eps_sim_yy
    0.000000E+000    0.000000E+000 
    0.833333E+000    0.000000E+000 
    0.250000E+001    0.000000E+000 
    0.416667E+001    0.000000E+000 
    0.583333E+001    0.000000E+000 
    0.750000E+001    0.000000E+000 
    0.916667E+001    0.000000E+000 
    0.118000E+002    0.964129E-006 
    0.154000E+002    0.356170E-005 
    0.190000E+002    0.100130E-004 
    0.226000E+002    0.340368E-004 
    0.262000E+002    0.121807E-003 
    0.282000E+002    0.345959E-003 
    0.286000E+002    0.705765E-003 
    0.290000E+002    0.130731E-002 
    0.294000E+002    0.266590E-002 
    0.298000E+002    0.627801E-002 
    0.301000E+002   -0.113201E-001 
    0.303000E+002   -0.978914E-002 
    0.305000E+002   -0.993671E-002 
    0.307000E+002   -0.101274E-001 
    0.309000E+002   -0.102813E-001 
    0.311000E+002   -0.102813E-001 
    0.313000E+002   -0.101274E-001 
    0.315000E+002   -0.993676E-002 
    0.317000E+002   -0.978921E-002 
    0.319000E+002   -0.113202E-001 
    0.322000E+002    0.627795E-002 
    0.326000E+002    0.266590E-002 
    0.330000E+002    0.130750E-002 
    0.334000E+002    0.706468E-003 
    0.338000E+002    0.348087E-003 
    0.357500E+002    0.124276E-003 
    0.392500E+002    0.354209E-004 
    0.427500E+002    0.109213E-004 
    0.462500E+002    0.460152E-005 
    0.482000E+002    0.305541E-005 
    0.486000E+002    0.280825E-005 
    0.490000E+002    0.261922E-005 
    0.494000E+002    0.247726E-005 
    0.498000E+002    0.237505E-005 
    0.501000E+002   -0.218368E-001 
    0.503000E+002   -0.218369E-001 
    0.505000E+002   -0.218369E-001 
    0.507000E+002   -0.218370E-001 
    0.509000E+002   -0.218370E-001 
    0.511000E+002   -0.218370E-001 
    0.513000E+002   -0.218370E-001 
    0.515000E+002   -0.218370E-001 
    0.517000E+002   -0.218371E-001 
    0.519000E+002   -0.218371E-001 
    0.522000E+002    0.209354E-005 
    0.526000E+002    0.211300E-005 
    0.530000E+002    0.215888E-005 
    0.534000E+002    0.223435E-005 
    0.538000E+002    0.234469E-005 
    0.557500E+002    0.316025E-005 
    0.592500E+002    0.634802E-005 
    0.627500E+002    0.159744E-004 
    0.662500E+002    0.402900E-004 
    0.682000E+002    0.751098E-004 
    0.686000E+002    0.110945E-003 
    0.690000E+002    0.152285E-003 
    0.694000E+002    0.208942E-003 
    0.698000E+002    0.293720E-003 
    0.701429E+002   -0.214158E-001 
    0.704286E+002   -0.212294E-001 
    0.707143E+002   -0.209538E-001 
    0.710000E+002   -0.205019E-001 
    0.712857E+002   -0.196808E-001 
    0.715714E+002   -0.179994E-001 
    0.718571E+002   -0.142446E-001 
    0.721000E+002   -0.104363E-001 
    0.723000E+002   -0.947586E-002 
    0.725000E+002   -0.986628E-002 
    0.727000E+002   -0.101427E-001 
    0.729000E+002   -0.103233E-001 
    0.731000E+002   -0.103289E-001 
    0.733000E+002   -0.101730E-001 
    0.735000E+002   -0.997777E-002 
    0.737000E+002   -0.982495E-002 
    0.739000E+002   -0.113503E-001 
    0.742000E+002    0.625380E-002 
    0.746000E+002    0.264710E-002 
    0.750000E+002    0.129234E-002 
    0.754000E+002    0.692768E-003 
    0.758000E+002    0.331918E-003 
    0.780000E+002    0.110180E-003 
    0.820000E+002    0.285721E-004 
    0.860000E+002    0.769884E-005 
    0.900000E+002    0.263389E-005 
    0.940000E+002    0.100883E-005 
    0.980000E+002    0.276818E-006 
    0.100000E+003    0.276818E-006 
