position[nm]  eps_sim_yz
    0.000000E+000    0.000000E+000 
    0.833333E+000    0.000000E+000 
    0.250000E+001    0.000000E+000 
    0.416667E+001    0.000000E+000 
    0.583333E+001    0.000000E+000 
    0.750000E+001    0.000000E+000 
    0.916667E+001    0.000000E+000 
    0.118000E+002   -0.297366E-007 
    0.154000E+002   -0.876091E-007 
    0.190000E+002   -0.289809E-006 
    0.226000E+002   -0.143881E-005 
    0.262000E+002   -0.114336E-004 
    0.282000E+002   -0.527802E-004 
    0.286000E+002   -0.886151E-004 
    0.290000E+002   -0.175843E-003 
    0.294000E+002   -0.394840E-003 
    0.298000E+002   -0.847800E-003 
    0.301000E+002   -0.811586E-003 
    0.303000E+002   -0.139735E-004 
    0.305000E+002    0.530629E-004 
    0.307000E+002    0.430316E-004 
    0.309000E+002    0.185986E-004 
    0.311000E+002   -0.185510E-004 
    0.313000E+002   -0.429831E-004 
    0.315000E+002   -0.530124E-004 
    0.317000E+002    0.140275E-004 
    0.319000E+002    0.811643E-003 
    0.322000E+002    0.847863E-003 
    0.326000E+002    0.394915E-003 
    0.330000E+002    0.175930E-003 
    0.334000E+002    0.887053E-004 
    0.338000E+002    0.528176E-004 
    0.357500E+002    0.116415E-004 
    0.392500E+002    0.151721E-005 
    0.427500E+002    0.315940E-006 
    0.462500E+002    0.961235E-007 
    0.482000E+002    0.544422E-007 
    0.486000E+002    0.447337E-007 
    0.490000E+002    0.365261E-007 
    0.494000E+002    0.294095E-007 
    0.498000E+002    0.230234E-007 
    0.501000E+002    0.212556E-007 
    0.503000E+002    0.186271E-007 
    0.505000E+002    0.160790E-007 
    0.507000E+002    0.136103E-007 
    0.509000E+002    0.112141E-007 
    0.511000E+002    0.887964E-008 
    0.513000E+002    0.659569E-008 
    0.515000E+002    0.435078E-008 
    0.517000E+002    0.213307E-008 
    0.519000E+002   -0.709636E-010 
    0.522000E+002   -0.342385E-008 
    0.526000E+002   -0.829363E-008 
    0.530000E+002   -0.134304E-007 
    0.534000E+002   -0.190574E-007 
    0.538000E+002   -0.254253E-007 
    0.557500E+002   -0.537186E-007 
    0.592500E+002   -0.175952E-006 
    0.627500E+002   -0.613104E-006 
    0.662500E+002   -0.251365E-005 
    0.682000E+002   -0.719993E-005 
    0.686000E+002   -0.924942E-005 
    0.690000E+002   -0.130770E-004 
    0.694000E+002   -0.195269E-004 
    0.698000E+002   -0.304183E-004 
    0.701429E+002   -0.512329E-004 
    0.704286E+002   -0.746117E-004 
    0.707143E+002   -0.114381E-003 
    0.710000E+002   -0.184388E-003 
    0.712857E+002   -0.319914E-003 
    0.715714E+002   -0.601219E-003 
    0.718571E+002   -0.106468E-002 
    0.721000E+002   -0.712257E-003 
    0.723000E+002   -0.112085E-005 
    0.725000E+002    0.267990E-004 
    0.727000E+002    0.113562E-004 
    0.729000E+002   -0.851993E-005 
    0.731000E+002   -0.398757E-004 
    0.733000E+002   -0.594293E-004 
    0.735000E+002   -0.657398E-004 
    0.737000E+002    0.411944E-005 
    0.739000E+002    0.803853E-003 
    0.742000E+002    0.842548E-003 
    0.746000E+002    0.391343E-003 
    0.750000E+002    0.173366E-003 
    0.754000E+002    0.867682E-004 
    0.758000E+002    0.514618E-004 
    0.780000E+002    0.102939E-004 
    0.820000E+002    0.110448E-005 
    0.860000E+002    0.194041E-006 
    0.900000E+002    0.543585E-007 
    0.940000E+002    0.171261E-007 
    0.980000E+002    0.623133E-008 
    0.100000E+003    0.623133E-008 
