position[nm]  eps_sim_zz
    0.000000E+000    0.000000E+000 
    0.833333E+000    0.000000E+000 
    0.250000E+001    0.000000E+000 
    0.416667E+001    0.000000E+000 
    0.583333E+001    0.000000E+000 
    0.750000E+001    0.000000E+000 
    0.916667E+001    0.000000E+000 
    0.118000E+002   -0.141993E-002 
    0.154000E+002   -0.142426E-002 
    0.190000E+002   -0.143672E-002 
    0.226000E+002   -0.148156E-002 
    0.262000E+002   -0.168876E-002 
    0.282000E+002   -0.254588E-002 
    0.286000E+002   -0.317841E-002 
    0.290000E+002   -0.430430E-002 
    0.294000E+002   -0.672614E-002 
    0.298000E+002   -0.128507E-001 
    0.301000E+002   -0.975353E-002 
    0.303000E+002   -0.114035E-001 
    0.305000E+002   -0.109470E-001 
    0.307000E+002   -0.106791E-001 
    0.309000E+002   -0.105026E-001 
    0.311000E+002   -0.105025E-001 
    0.313000E+002   -0.106789E-001 
    0.315000E+002   -0.109465E-001 
    0.317000E+002   -0.114029E-001 
    0.319000E+002   -0.975274E-002 
    0.322000E+002   -0.128497E-001 
    0.326000E+002   -0.672473E-002 
    0.330000E+002   -0.430247E-002 
    0.334000E+002   -0.317628E-002 
    0.338000E+002   -0.254409E-002 
    0.357500E+002   -0.169547E-002 
    0.392500E+002   -0.148475E-002 
    0.427500E+002   -0.143820E-002 
    0.462500E+002   -0.142519E-002 
    0.482000E+002   -0.142239E-002 
    0.486000E+002   -0.142193E-002 
    0.490000E+002   -0.142156E-002 
    0.494000E+002   -0.142126E-002 
    0.498000E+002   -0.142103E-002 
    0.501000E+002    0.108538E-001 
    0.503000E+002    0.108539E-001 
    0.505000E+002    0.108540E-001 
    0.507000E+002    0.108540E-001 
    0.509000E+002    0.108541E-001 
    0.511000E+002    0.108541E-001 
    0.513000E+002    0.108542E-001 
    0.515000E+002    0.108542E-001 
    0.517000E+002    0.108542E-001 
    0.519000E+002    0.108542E-001 
    0.522000E+002   -0.142050E-002 
    0.526000E+002   -0.142055E-002 
    0.530000E+002   -0.142065E-002 
    0.534000E+002   -0.142080E-002 
    0.538000E+002   -0.142101E-002 
    0.557500E+002   -0.142243E-002 
    0.592500E+002   -0.142956E-002 
    0.627500E+002   -0.145165E-002 
    0.662500E+002   -0.152270E-002 
    0.682000E+002   -0.167913E-002 
    0.686000E+002   -0.175201E-002 
    0.690000E+002   -0.184659E-002 
    0.694000E+002   -0.198185E-002 
    0.698000E+002   -0.218658E-002 
    0.701429E+002    0.971242E-002 
    0.704286E+002    0.932351E-002 
    0.707143E+002    0.874418E-002 
    0.710000E+002    0.782548E-002 
    0.712857E+002    0.625930E-002 
    0.715714E+002    0.328936E-002 
    0.718571E+002   -0.298346E-002 
    0.721000E+002   -0.977986E-002 
    0.723000E+002   -0.109421E-001 
    0.725000E+002   -0.104056E-001 
    0.727000E+002   -0.101928E-001 
    0.729000E+002   -0.100957E-001 
    0.731000E+002   -0.101685E-001 
    0.733000E+002   -0.104051E-001 
    0.735000E+002   -0.107212E-001 
    0.737000E+002   -0.112164E-001 
    0.739000E+002   -0.959783E-002 
    0.742000E+002   -0.127421E-001 
    0.746000E+002   -0.664794E-002 
    0.750000E+002   -0.424717E-002 
    0.754000E+002   -0.313625E-002 
    0.758000E+002   -0.251343E-002 
    0.780000E+002   -0.165171E-002 
    0.820000E+002   -0.146672E-002 
    0.860000E+002   -0.143043E-002 
    0.900000E+002   -0.142129E-002 
    0.940000E+002   -0.141847E-002 
    0.980000E+002   -0.141744E-002 
    0.100000E+003   -0.141744E-002 
