position[nm]  e33[C/m^2]  e31[C/m^2]  e15[C/m^2]  B311[C/m^2]  B312[C/m^2]  B313[C/m^2]  B333[C/m^2]  B115[C/m^2]  B125[C/m^2]  B135[C/m^2]  B344[C/m^2]
    0.833333E+000    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.250000E+001    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.416667E+001    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.583333E+001    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.750000E+001    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.916667E+001    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.118000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.154000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.190000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.226000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.262000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.282000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.286000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.290000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.294000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.298000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.301000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.303000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.305000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.307000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.309000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.311000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.313000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.315000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.317000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.319000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.322000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
