position[nm]  potential[V]
    0.000000E+000    0.212038E+001 
    0.166667E+001    0.212038E+001 
    0.333333E+001    0.212039E+001 
    0.500000E+001    0.212040E+001 
    0.666667E+001    0.212043E+001 
    0.833333E+001    0.212048E+001 
    0.100000E+002    0.212056E+001 
    0.136000E+002    0.204409E+001 
    0.172000E+002    0.196786E+001 
    0.208000E+002    0.189218E+001 
    0.244000E+002    0.181783E+001 
    0.280000E+002    0.174624E+001 
    0.284000E+002    0.174338E+001 
    0.288000E+002    0.174034E+001 
    0.292000E+002    0.173734E+001 
    0.296000E+002    0.172783E+001 
    0.299990E+002    0.166930E+001 
    0.300010E+002    0.166930E+001 
    0.301990E+002    0.167217E+001 
    0.302010E+002    0.167217E+001 
    0.303990E+002    0.167089E+001 
    0.304010E+002    0.167089E+001 
    0.305990E+002    0.167156E+001 
    0.306010E+002    0.167156E+001 
    0.307990E+002    0.167227E+001 
    0.308010E+002    0.167227E+001 
    0.309990E+002    0.167339E+001 
    0.310010E+002    0.167339E+001 
    0.311990E+002    0.167450E+001 
    0.312010E+002    0.167450E+001 
    0.313990E+002    0.167521E+001 
    0.314010E+002    0.167521E+001 
    0.315990E+002    0.167588E+001 
    0.316010E+002    0.167588E+001 
    0.317990E+002    0.167460E+001 
    0.318010E+002    0.167460E+001 
    0.319990E+002    0.167747E+001 
    0.320010E+002    0.167747E+001 
    0.324000E+002    0.161894E+001 
    0.328000E+002    0.160943E+001 
    0.332000E+002    0.160641E+001 
    0.336000E+002    0.160335E+001 
    0.340000E+002    0.160045E+001 
    0.375000E+002    0.153101E+001 
    0.410000E+002    0.145881E+001 
    0.445000E+002    0.138531E+001 
    0.480000E+002    0.131125E+001 
    0.484000E+002    0.130278E+001 
    0.488000E+002    0.129431E+001 
    0.492000E+002    0.128583E+001 
    0.496000E+002    0.127735E+001 
    0.499990E+002    0.126887E+001 
    0.500010E+002    0.126887E+001 
    0.502000E+002    0.134462E+001 
    0.504000E+002    0.142036E+001 
    0.506000E+002    0.149610E+001 
    0.508000E+002    0.157185E+001 
    0.510000E+002    0.164759E+001 
    0.512000E+002    0.172333E+001 
    0.514000E+002    0.179908E+001 
    0.516000E+002    0.187482E+001 
    0.518000E+002    0.195056E+001 
    0.519990E+002    0.202631E+001 
    0.520010E+002    0.202631E+001 
    0.524000E+002    0.201782E+001 
    0.528000E+002    0.200934E+001 
    0.532000E+002    0.200086E+001 
    0.536000E+002    0.199238E+001 
    0.540000E+002    0.198389E+001 
    0.575000E+002    0.190970E+001 
    0.610000E+002    0.183580E+001 
    0.645000E+002    0.176249E+001 
    0.680000E+002    0.169018E+001 
    0.684000E+002    0.168271E+001 
    0.688000E+002    0.167523E+001 
    0.692000E+002    0.166792E+001 
    0.696000E+002    0.166091E+001 
    0.699990E+002    0.165438E+001 
    0.700010E+002    0.165438E+001 
    0.702857E+002    0.176486E+001 
    0.705714E+002    0.187564E+001 
    0.708571E+002    0.198675E+001 
    0.711429E+002    0.209771E+001 
    0.714286E+002    0.220653E+001 
    0.717143E+002    0.230569E+001 
    0.719990E+002    0.236802E+001 
    0.720010E+002    0.236802E+001 
    0.721990E+002    0.236939E+001 
    0.722010E+002    0.236939E+001 
    0.723990E+002    0.237109E+001 
    0.724010E+002    0.237109E+001 
    0.725990E+002    0.237562E+001 
    0.726010E+002    0.237562E+001 
    0.727990E+002    0.238031E+001 
    0.728010E+002    0.238031E+001 
    0.729990E+002    0.238555E+001 
    0.730010E+002    0.238555E+001 
    0.731990E+002    0.239108E+001 
    0.732010E+002    0.239108E+001 
    0.733990E+002    0.239665E+001 
    0.734010E+002    0.239665E+001 
    0.735990E+002    0.240275E+001 
    0.736010E+002    0.240275E+001 
    0.737990E+002    0.240760E+001 
    0.738010E+002    0.240760E+001 
    0.739990E+002    0.241725E+001 
    0.740010E+002    0.241725E+001 
    0.744000E+002    0.237172E+001 
    0.748000E+002    0.237311E+001 
    0.752000E+002    0.238010E+001 
    0.756000E+002    0.238661E+001 
    0.760000E+002    0.239313E+001 
    0.800000E+002    0.239945E+001 
    0.840000E+002    0.240185E+001 
    0.880000E+002    0.240272E+001 
    0.920000E+002    0.240305E+001 
    0.960000E+002    0.240317E+001 
    0.100000E+003    0.240322E+001 
